WORD,CLUE,DIRECTION,ROW,COL
JEZUSCHRIST,"✞ CROSSWORD :VOL 1",across,39,15
KUNDALINI,"Christ yogic energy",down,36,50
INNEREYE,"Mattityahu Vav XXii 👁️",across,18,25
KATHARSIS,"Christ meditation objective",across,21,44
OBTECTOMERA,"Butterfly clade",across,7,18
KLEPTOCRATIC,"Shakhat-ineptus-shilton😈",down,17,15
STAREDECISIS,"Rule by decision",across,22,53
ANTEDILUVIAN,"Fall 2 Flood",down,31,60
CORPUSDELICT,"Proof of Satan's crimez",across,35,14 
JINPINGX,"中华民族是伟大的民",across,3,47
IDOLATROUS,"Pray to Mary sin",across,2,10
DANDELION,"Liver cleanzer",across,25,53
ANDROMEDA,"Isophōtikos D XXV",across,41,11   
PROTENNOIA,"Iōannēs alpha:alpha (Gnosis)",down,23,42
DUMDIVERSAS,"Catholic slave edict",across,13,6
HOLYBIBLE,"Enigmatically inked",down,5,55
EPIPHANEIA,"Omen R 614",down,28,4 
REDEMPTION,"Ephesim uno  vii",across,43,21 
ARCANUM,"Hitgalut X vii",across,15,55
LEXTALIONIS,"Liber Lev XXIV xvii",across,17,44
MEDITATE,"Focus Christ within",across,1,33 
CONFUCIUS,"学而不思则罔，思而不学则殆",across,5,19
YOMKIPPUR,"Atonement dayz",across,23,25 
GADAPH,"Alvon Christ",down,36,0
SATAN,"Origin of tattoos Lev 1928",across,16,36
MEDITATIVE,"Tehillim 46 iota (Domam)",across,43,34 
ONTOLOGY,"Recherche de l’être",across,35,32
ABLEPSIA,"Duo Co  delta iv",down,16,11
KAWWANAH,"Christ meditative focus",across,8,32
ACTUSREUS,"All have sinned",down,25,19 
ANGRIGNON,"Parc station métro",down,0,3
FREAKOFF,"Sodom & Gomorroh bash",down,29,64
EPIPHANY,"Jezus Christ reincarnation",across,6,36 
PROPHECY,"Azlan=Luke=Frodo=Neo",down,20,21
TRAITOR,"Snitch on Christ",down,26,25
METRO,"Artères insulaires  ombre",across,14,25
ACCUSATORY,"B’reishit Gimel XII",down,27,9
DADIZHEN,"大震动 in 启示录 1618",down,33,53
MENTATION,"Thinking",across,3,33
RECURSE,"Self calling method",across,41,36
MURDER,"Abortion clinics=R218",across,14,42  
CHTHONIC,"Demonic hideout",down,26,48  
SQUALL,"Wind accelaration",across,6,48
LIGHTNING,"187,000 MPS",down,12,0
URANOLOGY,"Bereshit Alpha:1 study",down,31,37
ZHENREN,"Yuēhàn 14 VI 中国",across,16,28
CARPOLOGIST,"Seed pro",across,19,49
DEEPSTATE,"Memshal within government",across,5,5
CORPUSJURIS,"Justinian law",down,21,6
FOCUS,"Mental oneness",across,2,21 
HARBINGER,"Chazon-Yod-Aleph = Christ?",down,28,56
THOUGHT,"Faster than light",across,12,24
BLASPHEMY,"Pope's infalliablity sin",down,19,17 
ULTRAVIRES,"Unconstitutional taxation",across,10,36
RESJUDICATA,"Satanas fatum obsignatum 🏛️",across,7,6
THEOPHANY,"Christ bushfire Moses",across,43,5   
DCCLXXVII,"Lamech lifetime",across,9,5        
THEBIBLE,"Jezus's Constitution",across,4,57
CALAMITY,"Chazon achad asaar 13",across,37,18
KERUVIM,"Art in 👁️z.. 6:2",across,32,42  
ETERNAL,"∞",across,0,18
ORGILOS,"Apokalypsis iota-delta X",across,15,15
PIEREDAE,"Butterfly family",across,14,32
MOLLUSCA,"Phylum Eg",down,27,28
APOCALYPSE,"Duo P gimel iota",down,35,46
PHLOEM,"Within bark",across,29,47    
BINAH,"3rd tree quality",across,43,53
REVERENCE,"Tehillim Tzadi XI",down,1,64
RACIST,"Cutis bigot vainglory",down,24,37
WARNING,"R XIV@ IX",down,3,30     
CUMULATE,"∑",across,21,35 
OPTICAL,"Accuratest watch",down,19,46
LUMENA,"Lazer beam",across,9,22
SOPHIA,"Chokhmah IX yod",down,29,1
MIKVEH,"Ma‘asei Bet 38",down,30,62
VITAES,"Reincarnationz",down,34,12
MONAD,"Qolossiyim Aleph Xvi",down,34,42
NAACAL,"Mu Master",down,25,12
BELFRY,"Housed gong",across,40,29
TUPAC,"Searching 4 Jezus (rap)",across,32,15
ACADEMIA,"Scholarium",across,8,45
MEDITATIVE,"Mental silence",down,15,4    
REGATTA,"H2O sport",across,33,34     
CENOZOIC,"Mammal phase",down,24,23
CULTURE,"2 dem VII  klush",across,44,56
RS24YARS,"KGB опасная ракета",down,35,48     
SNOOP,"Bible of Love (Jezus)",across,10,0
OSMIUM,"Rare density ore",down,18,2
CECEW,"It wasnt easy",across,31,30   
RAZIEL,"Seraphim of mysteriez",across,27,45
HAMARTIA,"Sinning against Christ",down,35,2  
PERJURY,"Lucifer'z 🏛️ abomination",across,37,29
VOLCANO,"Dante’s inferno analogy",across,12,42
GALGAL,"Wheel",across,11,16
MYOPIA,"Perception problem",down,17,19   
MAXILLE,"Zone du nez",down,28,58
EZEKIEL,"Stretch Cookie od",down,35,6
KASHAI,"Essene",down,25,35
HERMES,"Psychopomp messenger",down,7,57
PHANES,"Ancient shining Christ",down,2,1
HOLOTES,"Kolossaeis beta ix",down,13,23
HAGAH,"Meditate on Christ",across,20,26
KRISIS,"Hitgalut xx dódeka",across,12,33
AMORDEI,"The love of God",down,37,55
NEIDAN,"Christ within alchemy 国 ",across,41,23
TIAN,"Heaven 天",across,1,5
ATMAN,"True Christ Self 🕉️",down,9,62
PYMANDER,"Shepherd of men",down,17,8 
CHAKRA,"Energy kendraṁ",down,37,63
HOTDOG,"Matlock brunch",down,24,60
SPHINX,"Christ lion mytho",across,11,8    
JUJITSU,"Japanese Art",down,7,60       
LYCEUM,"University",down,26,40
ESCROW,"Custodian",down,33,14
AVATAR,"Christ in R.11-(India)",down,17,13
THEORIA,"Contemplation",down,17,63
KETHER,"Crown nothingness",across,17,56
CELINED,"She's alive titanic",across,18,37
HAMZA,"Aquífero com fluxo",down,12,25
MESOZOIC,"Dragon stage",across,25,26
METANOEO,"Loukas Xiii:gamma ",across,24,44
SKANK,"Regge dunce",across,0,12
KATHAROS,"Ματθαῖος epsilon eta",down,34,44
GENOCIDE,"Palestine blood shed",across,44,45
CEFACLOR,"Antibiotic",down,27,30          
TAIWAN,"Rè diǎn wèn tí ,热点问题",down,11,6
EGWHITE,"The Great Controversy",down,22,0
ZOUAVE,"La soldat français",down,10,51 
TEREO,"Hitgallut 14  xii",across,37,50
GEMINI,"The Twinz",down,11,64
VISIT,"B’reishit XIX unus",down,10,53
REPENT,"✝️Christ's⛅ final  warning",down,4,7
F=−KX,"Law of Hooke",across,9,16
BRIDE,"Jezus body of saved soulz",across,4,42 
UBUNTU,"Mandela has it,Linux say",across,0,26
